d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad
01000,San Ángel,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01010,Los Alpes,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01020,Guadalupe Inn,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01030,Axotla,Pueblo,Álvaro Obregón,Ciudad de México,Ciudad de México
01030,Florida,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01040,Campestre,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01049,Tlacopac,Pueblo,Álvaro Obregón,Ciudad de México,Ciudad de México
01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01060,Altavista,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01060,San Ángel Inn,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01070,Chimalistac,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01080,Progreso Tizapan,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01089,Ermita Tizapan,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01090,La Otra Banda,Barrio,Álvaro Obregón,Ciudad de México,Ciudad de México
01090,Loreto,Barrio,Álvaro Obregón,Ciudad de México,Ciudad de México
01090,Tizapan,Pueblo,Álvaro Obregón,Ciudad de México,Ciudad de México
01100,Pólvora,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01109,La Conchita,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01110,Belém de las Flores,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01110,El Capulín,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01110,Ampliación El Capulín,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01110,Liberales de 1857,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01120,Acueducto,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01120,Cove,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01120,Hidalgo,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01120,Las Américas,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01125,Ampliación Acueducto,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01130,Paraíso,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01130,Molino de Santo Domingo,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01130,Real del Monte,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01140,Bellavista,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01140,José Maria Pino Suárez,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01150,Cristo Rey,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01150,Tolteca,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01160,Bosque,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01160,Isidro Fabela,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01160,Maria G. de García Ruiz,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01160,1a Victoria,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01170,Abraham M. González,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01180,Carola,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01180,8 de Agosto,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01180,San Pedro de los Pinos,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01200,Arturo Martínez,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01210,Santa Fe,Pueblo,Álvaro Obregón,Ciudad de México,Ciudad de México
01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01220,La Estrella,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01220,Bonanza,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
01220,Cuevitas,Colonia,Álvaro Obregón,Ciudad de México,Ciudad de México
