d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad
87000,Ciudad Victoria Centro,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87000,Los Fresnos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87010,Enrique Cárdenas González,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87010,José López Portillo,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87010,Tránsito,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,El Mirador,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,Emilio Caballero,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,General Lucio Blanco,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,77 Batallón de Infantería,Zona militar,Victoria,Tamaulipas,Ciudad Victoria
87014,Alianza de Colonos,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,Villa María,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,Zeferino Fajardo Luna,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87014,Luis Donaldo Colosio,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87015,Estrella,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87015,Las Enfermeras,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87015,Privada San Ignacio,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87016,Cañón de la Peregrina,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87016,Vamos Tamaulipas,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87016,Sierra Vista,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Colinas del Valle,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Framboyanes,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Industrial,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87018,Praderas de Victoria,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Lomas de Calamaco,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,La Libertad II,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87018,Valle Esmeralda,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Las Montañas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Colinas de San Roberto,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Agua Fría II,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87018,Agua Fría I,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87019,Burócratas Municipales II,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87019,La Libertad,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87019,La Presita,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87019,Monte Alto,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87019,Rincón del Valle,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87019,Villas del Pedregal,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87019,Rincón del Valle Elite,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87020,Adolfo López Mateos,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87020,Norberto Treviño Zapata,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87020,Valle de Aguayo,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87020,Valle Escondido,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,Lázaro Cárdenas,Ejido,Victoria,Tamaulipas,
87023,Haciendas del Colibrí,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,Residencial Campestre Janambres,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,Puerta de Hierro,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,Residencial Santa María,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,San Gabriel,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,Los Olivos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87023,Lilia Zozaya,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,Azteca,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria
87024,Burócratas Municipales,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,Doctores,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,Ignacio Zaragoza,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,ITACE,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Mariano Matamoros,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,Poza Madre,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,Revolución Verde,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87024,Teocaltiche,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,UPYSSET,Equipamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Bosque Real,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Villa Oriente,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Colinas del Bosque,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Residencial los Milagros,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Granjas Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Vista Azul,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Santa María,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Valle Oriente,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Santa Fe,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Bosques del Sur,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Privada San Miguel,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Los Encinos Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,San Alberto,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Las Alamedas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Pedregal Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Nueva Aurora,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87024,Privanzas II,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Adolfo López Mateos (Ampliación),Colonia,Victoria,Tamaulipas,Ciudad Victoria
87025,Ingeniero Agrónomo Carlos Anzures,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87025,Bugambilias,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria
87025,Del Sol,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87025,Del Valle,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Las Huertas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Residencial Cabañas de Victoria,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Vista Verde,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Jardines de San José,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Privada Cabañas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Villas del Bosque,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Real de Teocaltiche,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,La Florida,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Magistrados,Condominio,Victoria,Tamaulipas,Ciudad Victoria
87025,Las Alazanas,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87025,Bosques Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Siglo XXI,Equipamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Privada Bilbao,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Montes Altos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Ampliación Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Residencial la Misión,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87025,Haciendas del Sol,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87026,Magisterial,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87026,Privada Canteras,Condominio,Victoria,Tamaulipas,Ciudad Victoria
87027,Las Américas,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87027,Arboledas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,Petroleros,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,Villa Jardín,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,Villarreal,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,Ampliación Villarreal,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,San Ángel,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,Monte Alto,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87027,Privadas de la Salle,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Benito Juárez,Ejido,Victoria,Tamaulipas,Ciudad Victoria
87028,Club Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,INFONAVIT Jardín,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87028,Residencial los Naranjos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Camino Real,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Los Sauces,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Los Lagos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Verona Residencial,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Los Laureles,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Royal Country,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Misión San Agustín,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Los Cristales,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Santa Laura,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Santa Bárbara,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87028,Villa Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87029,Residencial Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87029,Privanzas I,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87029,Las Villas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Ampliación Miguel Alemán,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Banrural,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Colinas del Mirador,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Héroe de Nacozari,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Imperial,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Jardín Norte,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Lázaro Cárdenas,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Los Ébanos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Miguel Alemán,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Sierra Ventana,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Junta Local de Caminos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Nuevo Santander,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Privada Jardines del Sauce,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,FSTSE,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Villa Alpina,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,INFONAVIT Miguel Alemán,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87030,Conjunto Habitacional Panorama,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria
87030,Mi Ranchito,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,La Cima,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Mira Sierra,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Cumbres,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,Privadas del Nogalar,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87030,La Sierra,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87033,La Escondida,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87037,Sierra Madre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87037,Tecnológico,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87037,Balcón Panorámico Residencial,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87037,Lomas Panorámico,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87037,Fuego Nuevo,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87037,Lomas de Santander,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87037,Colinas del Parque,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87037,Residencial los Alpes,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87039,Nuevo Santander,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87040,INFONAVIT Aldama,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria
87040,Asunción Gómez,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87040,Los Arcos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87040,Del Periodista,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87040,San José,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87040,Viviendas Populares,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87043,Pietrasanta,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87048,INFONAVIT Jesús Elías Piña,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87048,Pedro José Méndez,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87048,FOVISSSTE,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87049,Santo Tomás,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Hacienda del Bosque,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Las Adelitas,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87049,Las Misiones,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Las Torres,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87049,México,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87049,Oralia Guerra de Villarreal,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87049,San Luisito,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Militar,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria
87049,Residencial las Torres,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Residencial los Almendros,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,SUTSPET,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,INFONAVIT Fidel Velázquez Sánchez,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87049,Santa Martha,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Los Ángeles,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Conjunto Habitacional Paseo de las Américas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Naciones Unidas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Los Almendros,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Conjunto Habitacional los Mezquites,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87049,Lázaro Cárdenas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87050,Morelos,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87050,Quinta Laura,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87050,Residencial las Palmas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87050,San Francisco,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87050,Sierra Gorda,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87058,Del Norte,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87058,Jacarandas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87058,Conjunto Habitacional Residencial Selectas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87059,Hogares Modernos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87060,Estudiantil,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Luis Echeverría Álvarez,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Tamatán,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Bethel,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Constitución del 17 de Octubre,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Tomás Yarrington,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Rosalinda Guerrero,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87060,Sector la Huerta,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,Del Maestro,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,Zozaya,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,La Gloria,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,Cofrades,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Luis Quintero Guzmán,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,San Marcos,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,7 de Noviembre,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,Camino Real a Tula,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,Puerta de la Luna,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Américo Villarreal Guerra,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87070,Conjunto Habitacional Villas de Guadalupe,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Rincón de Tamatán,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Puerta del Sol,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Puerta Cofrades,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Puerta de Tamatán,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87070,Jardines de Tamatán,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87071,Enrique Lara,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87076,Alberto Carrera Torres,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87076,Simón Torres,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87076,La Esperanza,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,Altavista,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,América de Juárez,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,Camino Vecinal la Garra,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,Las Flores,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87078,Álvaro Obregón,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,Cuauhtémoc,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87078,Cuauhtémoc,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,Vista Hermosa,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,Luis Echeverría Álvarez,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria
87078,Rincón de la Sierra,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87078,Del Maestro Eta,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87078,El Tamatán,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87078,Vergel de la Sierra,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87080,Buenavista,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87080,16 de Septiembre,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87080,Emilio Portes Gil,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87080,Independencia,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87080,José de Escandón,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87080,Emiliano Zapata,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87080,Ayuntamiento I Etapa,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87083,Parque Bicentenario,Equipamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,Residencial los Canarios,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,Los Mirlos Residencial,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,Paseo de los Cisnes,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,Residencial el Cardenal,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,Los Álamos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,Residencial Santa Regina,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87084,La Rioja,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87085,Pepenadores,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87085,Ayuntamiento II Etapa,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87086,Valle Dorado,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria
87086,Liberal,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87086,Vicente Guerrero,Colonia,Victoria,Tamaulipas,Ciudad Victoria
87086,Azteca,Colonia,Victoria,Tamaulipas,Ciudad Victoria
